0.01, 16.9798798561, 1
0.06, 44.7493441105, 1
0.11, 177.996325016, 1
0.16, 180.423486948, 0
0.21, 180.425145149, 0
0.26, 26.4051988125, 1
0.31, 127.58356905, 1
0.36, 117.722828865, 1
0.41, 76.5713980198, 1
0.46, 18.5520222187, 1
0.51, 31.7895340919, 1
0.56, 180.281636953, 0
0.61, 35.8798940182, 1
0.66, 180.991217852, 0
0.71, 29.1414458752, 1
0.76, 180.170902014, 0
0.81, 18.937112093, 1
0.86, 38.48269701, 1
0.91, 180.518746853, 0
0.96, 180.639117002, 0
0.01, 27.2575871944, 1
0.06, 180.758819103, 0
0.11, 180.740540028, 0
0.16, 52.5724639893, 1
0.21, 17.3131659031, 1
0.26, 76.2261149883, 1
0.31, 19.88017416, 1
0.36, 53.839058876, 1
0.41, 180.080118895, 0
0.46, 17.4130940437, 1
0.51, 35.8744430542, 1
0.56, 180.0385921, 0
0.61, 180.618554831, 0
0.66, 1.8518910408, 1
0.71, 166.241119146, 1
0.76, 180.859428167, 0
0.81, 60.8839969635, 1
0.86, 28.3313670158, 1
0.91, 26.3733589649, 1
0.96, 180.255418062, 0
0.01, 13.0964338779, 1
0.06, 180.280248165, 0
0.11, 11.3308579922, 1
0.16, 11.2238271236, 1
0.21, 96.1539640427, 1
0.26, 17.2960128784, 1
0.31, 23.6426608562, 1
0.36, 180.594069958, 0
0.41, 22.5637161732, 1
0.46, 26.2231729031, 1
0.51, 14.6407258511, 1
0.56, 91.9902639389, 1
0.61, 60.4515020847, 1
0.66, 180.935986996, 0
0.71, 27.6954600811, 1
0.76, 13.6460669041, 1
0.81, 180.702329874, 0
0.86, 180.557173014, 0
0.91, 180.746967077, 0
0.96, 180.359313011, 0
0.01, 180.134758949, 0
0.06, 180.700855017, 0
0.11, 14.4160211086, 1
0.16, 69.2481200695, 1
0.21, 180.258444071, 0
0.26, 180.655632973, 0
0.31, 32.8789558411, 1
0.36, 180.373373032, 0
0.41, 45.5507588387, 1
0.46, 50.464963913, 1
0.51, 26.0496969223, 1
0.56, 180.572218895, 0
0.61, 12.591989994, 1
0.66, 40.6087219715, 1
0.71, 180.433681965, 0
0.76, 180.586946011, 0
0.81, 40.4167778492, 1
0.86, 59.8369348049, 1
0.91, 61.1890649796, 1
0.96, 180.141532898, 0
0.01, 180.41673398, 0
0.06, 92.0421190262, 1
0.11, 180.352334023, 0
0.16, 180.412998915, 0
0.21, 159.735543013, 1
0.26, 180.611978054, 0
0.31, 36.0622718334, 1
0.36, 180.244050026, 0
0.41, 20.379472971, 1
0.46, 180.919876099, 0
0.51, 18.5533750057, 1
0.56, 104.831871986, 1
0.61, 180.660000086, 0
0.66, 25.5131020546, 1
0.71, 180.878664017, 0
0.76, 180.681087017, 0
0.81, 64.974930048, 1
0.86, 180.304090023, 0
0.91, 17.0263750553, 1
0.96, 180.329180956, 0
0.01, 43.2447919846, 1
0.06, 180.522459984, 0
0.11, 15.5268878937, 1
0.16, 177.834457159, 1
0.21, 180.604954958, 0
0.26, 180.695807934, 0
0.31, 180.203478813, 0
0.36, 121.181769133, 1
0.41, 19.5653300285, 1
0.46, 67.6675999165, 1
0.51, 38.3424890041, 1
0.56, 31.9715530872, 1
0.61, 31.7840790749, 1
0.66, 180.567283869, 0
0.71, 26.215280056, 1
0.76, 180.614036798, 0
0.81, 132.436877966, 1
