24.822801, 2.148595, 10161, 334, 227
131.065819, 3.571217, 44992, 752, 299
20.494372, 3.400602, 11410, 515, 236
31.377924, 2.247838, 13946, 578, 208
158.725727, 2.79036, 51292, 538, 204
74.000579, 2.624341, 28987, 403, 149
10.884083, 2.143186, 6533, 270, 159
10.007288, 1.901708, 4799, 244, 77
128.215136, 1.638515, 41497, 313, 108
13.21281, 2.565165, 6704, 495, 193
15.827386, 2.477958, 7955, 340, 196
211.398511, 3.565638, 60094, 641, 198
4.73748, 2.915803, 4877, 426, 142
43.174736, 1.1161, 18497, 317, 127
76.15952, 1.899498, 30219, 368, 179
16.869971, 2.472015, 10067, 365, 175
44.532439, 2.198716, 14611, 663, 126
26.246256, 3.041724, 13552, 483, 258
12.595961, 3.566013, 9135, 626, 257
159.193877, 2.470237, 49258, 341, 150
